id,key,value,type
262628099,highway,crossing,regular
262628099,crossing,uncontrolled,regular
262628114,highway,traffic_signals,regular
262628116,highway,traffic_signals,regular
262628116,sound,yes,traffic_signals
262628120,highway,traffic_signals,regular
262628120,sound,yes,traffic_signals
262628127,highway,traffic_signals,regular
266168064,name,Liceo San Luis,regular
266168064,amenity,school,regular
266168064,created_by,xybot,regular
266168064,url,http://educa.madrid.org,source
266168064,fax,916131406,educamadrid
266168064,tipo,Centro Privado De Educacion Infantil Y Primaria,educamadrid
266168064,comedor,no,educamadrid
266168064,bilingue,no,educamadrid
266168064,telefono,"916131406 , 916131406",educamadrid
266168064,tipo_via,Calle,educamadrid
266168064,municipio,Móstoles,educamadrid
266168064,cod_centro,28023248,educamadrid
266168064,nombre_via,Camino De Humanes,educamadrid
266168064,transporte,no,educamadrid
266168064,horario_amp,no,educamadrid
266168064,codigo_postal,28938,educamadrid
266168064,numero_portal,12,educamadrid
266168064,publico_bilingue,no,educamadrid
266168068,name,Liceo Villa Fontana,regular
266168068,amenity,school,regular
266168068,url,http://educa.madrid.org,source
266168068,fax,916459833,educamadrid
266168068,tipo,Centro Privado De Educacion Infantil Primaria Y Secundaria,educamadrid
266168068,comedor,no,educamadrid
266168068,bilingue,no,educamadrid
266168068,telefono,"916459211 , 916459211",educamadrid
266168068,tipo_via,Avenida,educamadrid
266168068,municipio,Móstoles,educamadrid
266168068,cod_centro,28023030,educamadrid
266168068,nombre_via,De Carlos V,educamadrid
266168068,transporte,no,educamadrid
266168068,horario_amp,no,educamadrid
266168068,codigo_postal,28936,educamadrid
266168068,numero_portal,27,educamadrid
266168068,publico_bilingue,no,educamadrid
266168073,name,La Inmaculada,regular
266168073,amenity,school,regular
266168073,created_by,xybot,regular
266168073,url,http://educa.madrid.org,source
266168073,fax,916136464,educamadrid
266168073,tipo,Centro Privado De Educación Infantil,educamadrid
266168073,comedor,yes,educamadrid
266168073,bilingue,no,educamadrid
266168073,telefono,"916130601 , 916130601",educamadrid
266168073,tipo_via,Calle,educamadrid
266168073,municipio,Móstoles,educamadrid
266168073,cod_centro,28023091,educamadrid
266168073,nombre_via,De La Malvarrosa,educamadrid
266168073,transporte,no,educamadrid
266168073,horario_amp,yes,educamadrid
266168073,codigo_postal,28937,educamadrid
266168073,numero_portal,6,educamadrid
266168073,publico_bilingue,no,educamadrid
266168763,name,Dálmatas,regular
266168763,amenity,kindergarten,regular
266168763,url,http://educa.madrid.org,source
266168763,fax,914374632,educamadrid
266168763,tipo,Centro Privado de Educación Infantil,educamadrid
266168763,comedor,no,educamadrid
266168763,bilingue,no,educamadrid
266168763,telefono,"916460128 , 916460128",educamadrid
266168763,tipo_via,Calle,educamadrid
266168763,municipio,Móstoles,educamadrid
266168763,cod_centro,28036528,educamadrid
266168763,nombre_via,Camino de Leganés,educamadrid
266168763,transporte,no,educamadrid
266168763,horario_amp,no,educamadrid
266168763,codigo_postal,28936,educamadrid
266168763,numero_portal,50,educamadrid
266168763,publico_bilingue,no,educamadrid
266169433,name,Colores,regular
266169433,amenity,school,regular
266169433,created_by,xybot,regular
266169433,url,http://educa.madrid.org,source
266169433,fax,916180211,educamadrid
266169433,url,http://www.educa.madrid.org/eei.colores.mostoles,educamadrid
266169433,tipo,Escuela De Educación Infantil,educamadrid
266169433,comedor,yes,educamadrid
266169433,bilingue,no,educamadrid
266169433,telefono,"916180211 , 916180211",educamadrid
266169433,tipo_via,Calle,educamadrid
266169433,municipio,Móstoles,educamadrid
266169433,cod_centro,28043909,educamadrid
266169433,nombre_via,Coronel De Palma,educamadrid
266169433,transporte,no,educamadrid
266169433,horario_amp,yes,educamadrid
266169433,codigo_postal,28934,educamadrid
266169433,numero_portal,0,educamadrid
266169433,publico_bilingue,no,educamadrid
266169489,name,El Juglar,regular
266169489,amenity,school,regular
266169489,created_by,xybot,regular
266169489,url,http://educa.madrid.org,source
